TEMP,num_delays,avg_delay_time
-39.72,5,35.60
-39.17,2,22.00
-38.39,7,8.14
-38.17,2,20.00
-36.5,1,1.00
-36.33,2,1.50
-36.28,3,7.67
-36.06,4,77.75
-35.83,1,7.00
-35.72,3,4.33
-35.67,1,86.00
-35.0,6,23.33
-34.44,1,11.00
-34.39,14,22.71
-34.17,2,48.50
-34.11,4,11.50
-33.78,5,63.40
-33.61,2,201.00
-33.28,2,17.00
-33.22,1,2.00
-33.11,6,15.00
-32.78,2,11.50
-32.67,3,35.67
-32.61,2,47.50
-32.5,2,7.00
-32.44,6,27.33
-31.94,2,23.00
-31.72,1,8.00
-31.22,1,4.00
-31.0,1,11.00
-30.89,3,115.33
-30.44,1,162.00
-30.39,1,24.00
-30.28,3,26.00
-29.72,1,7.00
-29.33,4,39.75
-29.22,3,11.33
-29.11,2,4.00
-29.06,6,33.17
-28.72,4,21.50
-28.67,3,31.67
-28.56,5,11.60
-28.39,1,15.00
-28.22,1,12.00
-28.17,4,26.50
-28.11,1,56.00
-27.89,1,2.00
-27.83,4,11.25
-27.78,1,4.00
-27.72,1,60.00
-27.5,3,8.67
-27.44,4,19.00
-27.33,1,3.00
-27.22,3,10.33
-27.17,1,43.00
-27.11,5,22.00
-27.06,1,34.00
-26.89,4,29.75
-26.83,2,145.50
-26.72,11,36.00
-26.39,8,40.75
-26.33,6,78.83
-26.28,5,7.00
-26.22,18,64.11
-26.17,3,26.33
-26.06,3,26.67
-25.94,1,2.00
-25.89,2,79.00
-25.72,3,23.67
-25.61,1,195.00
-25.5,1,7.00
-25.44,3,8.67
-25.39,1,14.00
-25.28,1,6.00
-25.22,1,65.00
-25.11,7,29.00
-25.06,2,11.00
-24.89,4,57.25
-24.72,1,28.00
-24.61,3,5.00
-24.56,1,46.00
-24.5,5,31.60
-24.39,2,14.00
-24.33,2,42.00
-24.22,6,22.33
-24.17,2,15.50
-24.0,4,12.25
-23.83,1,17.00
-23.78,6,59.67
-23.72,3,82.00
-23.67,1,341.00
-23.61,3,436.00
-23.56,1,21.00
-23.44,12,89.58
-23.33,1,67.00
-23.28,2,24.50
-23.22,2,2.00
-23.17,2,46.00
-23.11,1,405.00
-23.0,3,13.67
-22.89,2,50.00
-22.83,1,26.00
-22.72,3,43.67
-22.61,8,18.75
-22.56,2,25.00
-22.5,1,19.00
-22.33,2,17.00
-22.28,2,190.00
-22.22,2,32.50
-22.11,3,13.33
-21.94,3,17.67
-21.83,1,1.00
-21.78,2,60.50
-21.61,5,83.20
-21.56,12,8.92
-21.44,1,18.00
-21.39,1,44.00
-21.33,8,31.25
-21.28,1,93.00
-21.22,14,95.14
-21.11,1,8.00
-21.0,6,68.83
-20.94,6,67.83
-20.89,6,48.17
-20.83,2,102.50
-20.78,6,48.50
-20.72,1,2.00
-20.67,17,18.06
-20.61,5,56.20
-20.56,2,271.50
-20.5,21,26.00
-20.44,7,74.86
-20.39,6,31.50
-20.28,3,13.67
-20.17,13,43.00
-20.11,20,36.15
-20.06,4,93.00
-20.0,4,50.50
-19.94,1,23.00
-19.89,2,48.00
-19.78,7,81.00
-19.72,34,32.24
-19.61,32,23.94
-19.5,3,22.33
-19.44,2,353.50
-19.33,13,149.92
-19.28,15,29.33
-19.22,5,49.40
-19.17,32,24.28
-19.11,17,42.35
-19.06,6,33.50
-19.0,4,7.25
-18.89,21,75.57
-18.83,130,28.10
-18.78,5,37.20
-18.67,2,12.50
-18.61,1,2.00
-18.44,440,53.01
-18.39,2,58.00
-18.33,1,40.00
-18.28,11,39.36
-18.17,18,88.94
-18.11,14,166.64
-18.06,15,40.60
-18.0,4,84.00
-17.94,4,27.75
-17.89,6,35.00
-17.83,4,59.00
-17.78,11,158.36
-17.72,12,32.92
-17.67,5,8.60
-17.61,3,51.00
-17.56,19,29.95
-17.5,15,54.00
-17.44,8,54.00
-17.33,20,37.85
-17.28,7,21.29
-17.22,30,52.70
-17.17,8,129.38
-17.11,5,51.00
-17.06,6,11.83
-17.0,1,8.00
-16.94,2,36.50
-16.89,9,55.00
-16.83,10,79.10
-16.78,2,33.00
-16.72,38,85.21
-16.67,2,389.50
-16.61,11,98.91
-16.56,2,6.00
-16.5,7,11.57
-16.44,5,17.80
-16.39,5,8.60
-16.33,3,22.33
-16.28,2,24.50
-16.22,2,24.00
-16.11,27,64.56
-16.06,95,46.19
-16.0,83,76.66
-15.94,13,28.54
-15.89,1,207.00
-15.83,16,32.88
-15.78,13,68.46
-15.72,5,25.40
-15.67,21,41.19
-15.61,23,43.30
-15.56,2,44.00
-15.5,7,85.43
-15.44,18,29.61
-15.39,1,9.00
-15.33,7,52.29
-15.28,17,31.94
-15.22,25,41.00
-15.17,9,98.22
-15.11,92,41.20
-15.06,100,63.26
-15.0,4,93.75
-14.94,6,94.50
-14.89,32,49.84
-14.83,40,51.15
-14.78,65,58.06
-14.72,1,2.00
-14.67,3,43.33
-14.61,7,43.71
-14.56,19,81.95
-14.5,2,10.50
-14.44,534,46.05
-14.39,162,35.76
-14.33,33,39.70
-14.28,118,22.45
-14.22,11,56.73
-14.17,32,53.47
-14.11,192,59.09
-14.06,19,130.21
-14.0,37,51.00
-13.94,5,61.00
-13.89,6,74.83
-13.83,16,85.69
-13.78,17,19.53
-13.72,16,86.81
-13.67,20,49.60
-13.61,17,71.94
-13.56,5,28.80
-13.5,20,99.80
-13.44,10,119.00
-13.39,126,28.22
-13.33,177,40.03
-13.28,18,102.06
-13.22,47,148.36
-13.17,29,69.69
-13.11,16,79.06
-13.06,28,160.43
-13.0,11,25.27
-12.94,5,120.00
-12.89,31,23.48
-12.83,44,47.98
-12.78,407,44.29
-12.72,139,49.52
-12.67,8,71.00
-12.61,9,39.67
-12.56,15,36.67
-12.5,39,51.38
-12.44,3,33.33
-12.39,17,65.59
-12.33,11,10.73
-12.28,15,61.80
-12.22,27,55.89
-12.17,9,50.00
-12.11,145,28.99
-12.06,33,64.12
-12.0,27,46.89
-11.94,20,77.40
-11.89,18,33.28
-11.83,38,62.08
-11.78,120,48.58
-11.72,60,38.47
-11.67,21,85.76
-11.61,76,31.07
-11.56,3,39.33
-11.5,17,61.94
-11.44,18,70.78
-11.39,28,33.57
-11.33,19,221.16
-11.28,46,98.63
-11.22,19,29.47
-11.17,35,46.26
-11.11,30,32.37
-11.06,105,26.17
-11.0,56,43.39
-10.94,164,59.07
-10.89,54,28.17
-10.83,36,64.25
-10.78,25,30.24
-10.72,18,42.00
-10.67,23,103.83
-10.61,17,51.76
-10.56,36,57.78
-10.5,59,74.32
-10.44,45,69.93
-10.39,174,31.47
-10.33,150,47.59
-10.28,37,87.22
-10.22,14,59.79
-10.17,47,48.17
-10.11,64,25.23
-10.06,173,53.88
-10.0,127,45.26
-9.94,22,42.77
-9.89,25,67.56
-9.83,17,78.82
-9.78,69,17.67
-9.72,167,41.26
-9.67,48,54.56
-9.61,64,85.27
-9.56,24,68.33
-9.5,10,105.40
-9.44,20,65.25
-9.39,43,63.09
-9.33,16,20.25
-9.28,64,65.17
-9.22,38,41.08
-9.17,173,34.34
-9.11,86,62.78
-9.06,36,46.81
-9.0,57,62.98
-8.94,167,33.37
-8.89,40,62.23
-8.83,65,43.91
-8.78,57,43.72
-8.72,40,55.80
-8.67,133,41.21
-8.61,45,49.44
-8.56,128,42.16
-8.5,41,81.15
-8.44,38,70.00
-8.39,64,60.09
-8.33,113,35.90
-8.28,28,40.25
-8.22,55,64.87
-8.17,67,48.81
-8.11,31,82.77
-8.06,138,49.83
-8.0,103,64.43
-7.94,195,43.18
-7.89,106,40.53
-7.83,371,45.27
-7.78,236,47.20
-7.72,172,46.51
-7.67,31,116.90
-7.61,110,42.35
-7.56,178,40.85
-7.5,507,34.31
-7.44,170,43.88
-7.39,123,36.37
-7.33,605,45.70
-7.28,61,30.31
-7.22,215,57.40
-7.17,265,41.84
-7.11,79,57.67
-7.06,169,41.18
-7.0,117,39.97
-6.94,90,46.54
-6.89,217,32.93
-6.83,130,30.58
-6.78,224,76.00
-6.72,134,37.63
-6.67,69,67.52
-6.61,68,51.07
-6.56,214,62.37
-6.5,201,40.79
-6.44,285,47.62
-6.39,140,56.43
-6.33,100,29.15
-6.28,288,43.06
-6.22,140,46.31
-6.17,81,47.16
-6.11,169,63.98
-6.06,363,46.78
-6.0,181,34.76
-5.94,135,63.81
-5.89,748,37.65
-5.83,473,38.06
-5.78,272,50.16
-5.72,183,40.87
-5.67,341,42.10
-5.61,297,35.21
-5.56,122,55.31
-5.5,233,26.81
-5.44,124,49.00
-5.39,106,56.42
-5.33,232,49.95
-5.28,423,46.12
-5.22,233,41.82
-5.17,302,39.37
-5.11,280,39.55
-5.06,179,45.65
-5.0,452,41.07
-4.94,899,42.27
-4.89,263,46.07
-4.83,195,42.47
-4.78,149,40.05
-4.72,110,58.85
-4.67,563,30.88
-4.61,107,68.26
-4.56,110,44.37
-4.5,455,48.75
-4.44,952,99.95
-4.39,109,66.34
-4.33,552,43.10
-4.28,320,49.34
-4.22,194,44.79
-4.17,378,45.04
-4.11,315,44.07
-4.06,782,43.54
-4.0,380,46.21
-3.94,418,41.55
-3.89,422,34.44
-3.83,419,43.36
-3.78,416,50.02
-3.72,314,37.22
-3.67,206,52.18
-3.61,373,51.49
-3.56,288,55.22
-3.5,479,39.85
-3.44,577,40.44
-3.39,515,61.63
-3.33,224,46.69
-3.28,290,46.42
-3.22,442,49.85
-3.17,328,43.94
-3.11,904,40.95
-3.06,266,44.55
-3.0,141,64.79
-2.94,384,43.12
-2.89,310,48.08
-2.83,488,45.28
-2.78,405,50.65
-2.72,765,36.44
-2.67,543,44.56
-2.61,333,36.91
-2.56,531,41.82
-2.5,678,47.40
-2.44,552,45.88
-2.39,192,44.21
-2.33,1356,39.36
-2.28,494,36.89
-2.22,423,71.67
-2.17,573,51.77
-2.11,602,37.23
-2.06,725,47.52
-2.0,707,47.37
-1.94,387,47.60
-1.89,474,46.21
-1.83,878,47.10
-1.78,1108,49.74
-1.72,714,49.68
-1.67,1152,47.22
-1.61,363,48.45
-1.56,445,39.19
-1.5,1491,48.81
-1.44,577,37.99
-1.39,974,39.72
-1.33,1042,49.37
-1.28,948,47.41
-1.22,1391,42.25
-1.17,597,38.35
-1.11,709,41.58
-1.06,1386,42.81
-1.0,519,45.29
-0.94,662,30.55
-0.89,904,36.48
-0.83,433,43.06
-0.78,866,46.73
-0.72,1153,39.28
-0.67,1460,47.76
-0.61,639,35.71
-0.56,1236,45.47
-0.5,1280,38.63
-0.44,858,39.47
-0.39,938,38.69
-0.33,563,52.32
-0.28,552,53.09
-0.22,1476,40.50
-0.17,1149,39.37
-0.11,1781,39.86
-0.06,1008,37.73
0.0,706,39.91
0.06,1235,41.00
0.11,903,37.81
0.17,935,37.41
0.22,634,37.12
0.28,1090,34.86
0.33,824,36.10
0.39,938,39.39
0.44,1158,35.99
0.5,631,30.98
0.56,870,45.12
0.61,1119,43.05
0.67,1687,40.17
0.72,805,42.07
0.78,684,41.27
0.83,887,36.58
0.89,1063,34.22
0.94,962,38.83
1.0,958,50.63
1.06,781,39.74
1.11,733,43.58
1.17,1415,34.90
1.22,712,33.55
1.28,740,48.94
1.33,1290,42.22
1.39,1555,41.58
1.44,689,39.01
1.5,1446,40.81
1.56,767,34.56
1.61,1496,41.12
1.67,1057,34.36
1.72,956,36.35
1.78,790,43.61
1.83,1065,35.66
1.89,1538,32.34
1.94,624,41.70
2.0,1352,34.25
2.06,1064,32.86
2.11,1302,37.13
2.17,921,31.64
2.22,819,43.81
2.28,698,48.80
2.33,1146,38.31
2.39,1023,40.17
2.44,1449,43.08
2.5,825,41.81
2.56,1210,38.37
2.61,1381,36.86
2.67,1516,33.72
2.72,642,39.69
2.78,862,39.35
2.83,694,35.62
2.89,1077,41.97
2.94,2087,39.09
3.0,1113,42.57
3.06,1209,37.23
3.11,1105,34.36
3.17,870,39.63
3.22,1619,38.83
3.28,1126,36.27
3.33,1019,36.06
3.39,605,43.32
3.44,1501,37.60
3.5,2132,45.28
3.56,951,34.62
3.61,969,34.07
3.67,940,35.49
3.72,1599,35.70
3.78,1013,34.54
3.83,1130,36.02
3.89,1269,36.43
3.94,1461,41.27
4.0,764,29.30
4.06,1135,40.15
4.11,1683,37.91
4.17,1103,37.18
4.22,1764,44.42
4.28,1061,28.35
4.33,1864,35.55
4.39,1363,48.83
4.44,1032,38.62
4.5,1208,39.54
4.56,1183,43.27
4.61,1065,34.81
4.67,908,36.24
4.72,2183,45.87
4.78,1749,34.32
4.83,1592,33.03
4.89,1348,33.18
4.94,1324,32.97
5.0,2153,37.68
5.06,1651,35.06
5.11,694,46.46
5.17,2604,33.49
5.22,1057,38.20
5.28,1364,40.77
5.33,1726,32.56
5.39,1883,34.08
5.44,1477,32.38
5.5,2400,42.98
5.56,1394,31.99
5.61,1081,29.83
5.67,1463,33.37
5.72,1168,35.89
5.78,1498,31.71
5.83,1220,38.08
5.89,1123,33.60
5.94,1907,39.52
6.0,1254,43.82
6.06,839,35.89
6.11,1409,32.19
6.17,1709,35.57
6.22,1855,36.72
6.28,2350,37.07
6.33,1197,31.57
6.39,1475,31.84
6.44,1036,34.88
6.5,1438,35.87
6.56,1919,34.99
6.61,1253,29.41
6.67,1065,38.82
6.72,1267,36.08
6.78,1161,35.85
6.83,1626,30.04
6.89,1154,37.95
6.94,2078,32.57
7.0,2052,34.19
7.06,1538,32.93
7.11,2118,38.05
7.17,1226,36.64
7.22,2053,36.56
7.28,1187,32.54
7.33,2114,36.25
7.39,2484,31.87
7.44,1358,33.72
7.5,1969,34.11
7.56,1673,35.85
7.61,730,30.00
7.67,932,35.66
7.72,1307,33.07
7.78,1381,30.27
7.83,1826,36.36
7.89,2123,34.51
7.94,1819,33.94
8.0,1704,33.11
8.06,1107,44.34
8.11,784,31.60
8.17,1604,35.75
8.22,1130,29.99
8.28,994,30.85
8.33,1907,31.15
8.39,1494,35.18
8.44,2036,46.70
8.5,2821,30.81
8.56,1377,37.84
8.61,1952,30.34
8.67,908,34.81
8.72,1087,29.46
8.78,1423,37.60
8.83,1235,29.98
8.89,1639,31.18
8.94,1299,28.43
9.0,962,38.00
9.06,1389,33.64
9.11,2210,35.09
9.17,1710,32.70
9.22,490,37.33
9.28,1674,33.43
9.33,986,34.70
9.39,1318,32.97
9.44,1862,33.66
9.5,1338,38.04
9.56,1321,34.45
9.61,795,32.71
9.67,1524,34.75
9.72,1521,43.93
9.78,1184,36.14
9.83,1705,30.66
9.89,1939,32.19
9.94,1402,46.65
10.0,996,42.19
10.06,1879,32.54
10.11,1167,30.78
10.17,1019,41.19
10.22,1645,31.06
10.28,2146,34.30
10.33,1020,34.07
10.39,1343,27.86
10.44,875,31.56
10.5,2835,37.14
10.56,2087,32.87
10.61,1551,36.94
10.67,1844,30.84
10.72,1711,35.66
10.78,1308,37.07
10.83,905,35.73
10.89,930,34.61
10.94,1729,37.41
11.0,901,32.83
11.06,1988,34.63
11.11,1684,34.19
11.17,1695,35.68
11.22,1749,32.59
11.28,896,40.96
11.33,1023,35.81
11.39,1486,29.64
11.44,1604,30.00
11.5,1512,33.77
11.56,1857,44.20
11.61,1200,32.32
11.67,1923,37.60
11.72,1337,30.51
11.78,1376,34.32
11.83,1304,33.10
11.89,756,35.39
11.94,2025,40.69
12.0,1491,34.73
12.06,1529,35.21
12.11,1242,31.08
12.17,1096,30.71
12.22,1625,36.44
12.28,1414,40.76
12.33,834,33.05
12.39,1677,31.37
12.44,2295,48.02
12.5,2159,30.40
12.56,2124,31.80
12.61,1521,33.42
12.67,1599,32.69
12.72,1943,37.02
12.78,2450,38.31
12.83,1630,36.12
12.89,1398,36.27
12.94,1582,33.69
13.0,1413,31.64
13.06,1851,31.61
13.11,1432,33.28
13.17,1163,32.02
13.22,1978,37.18
13.28,2432,35.84
13.33,1727,28.82
13.39,1316,34.17
13.44,2051,27.82
13.5,1406,28.49
13.56,978,29.37
13.61,1858,32.74
13.67,1598,34.11
13.72,1557,31.41
13.78,1604,35.86
13.83,1103,31.95
13.89,1235,34.37
13.94,1688,35.13
14.0,1988,33.65
14.06,844,41.37
14.11,1458,33.77
14.17,2078,31.52
14.22,2000,32.82
14.28,1833,32.95
14.33,2201,36.14
14.39,1996,31.60
14.44,1476,30.85
14.5,1329,31.81
14.56,1299,34.53
14.61,1407,31.81
14.67,1463,32.16
14.72,2070,30.25
14.78,1234,26.55
14.83,1394,29.34
14.89,1552,28.02
14.94,2140,31.41
15.0,1548,29.53
15.06,1501,33.44
15.11,1598,31.87
15.17,1978,35.05
15.22,1189,32.85
15.28,1403,28.25
15.33,1700,32.17
15.39,1682,31.65
15.44,1921,37.47
15.5,1637,33.20
15.56,1330,34.33
15.61,1733,29.71
15.67,1589,34.44
15.72,1184,30.21
15.78,1369,33.29
15.83,2238,29.54
15.89,1657,34.79
15.94,782,30.18
16.0,1336,34.66
16.06,1341,34.18
16.11,2108,31.77
16.17,1746,30.42
16.22,1031,32.48
16.28,1488,37.74
16.33,1523,32.17
16.39,1685,32.20
16.44,2057,30.08
16.5,1358,33.81
16.56,1765,35.24
16.61,1343,30.82
16.67,1360,30.67
16.72,1818,39.75
16.78,1626,28.13
16.83,1659,29.62
16.89,853,29.83
16.94,2122,42.11
17.0,1224,35.71
17.06,1646,53.61
17.11,1390,34.98
17.17,1278,37.71
17.22,1688,32.78
17.28,989,30.96
17.33,1242,28.98
17.39,987,32.13
17.44,1073,38.08
17.5,1051,34.05
17.56,1442,31.89
17.61,1529,31.11
17.67,1375,29.84
17.72,1083,27.33
17.78,1084,31.75
17.83,2003,37.44
17.89,1608,85.52
17.94,1434,31.71
18.0,1249,26.79
18.06,868,32.25
18.11,1778,38.73
18.17,1042,30.18
18.22,1282,35.19
18.28,1200,30.56
18.33,1066,34.11
18.39,1022,42.82
18.44,1217,29.75
18.5,1156,32.23
18.56,1176,30.00
18.61,1940,46.47
18.67,979,33.36
18.72,1268,34.28
18.78,1400,29.49
18.83,1158,29.88
18.89,1241,31.73
18.94,1220,33.91
19.0,1034,33.35
19.06,1224,32.18
19.11,722,36.49
19.17,1107,29.79
19.22,797,34.09
19.28,1041,33.07
19.33,1951,34.67
19.39,909,34.79
19.44,1390,30.04
19.5,950,33.47
19.56,1397,36.33
19.61,912,27.52
19.67,1569,43.05
19.72,817,35.39
19.78,1298,29.62
19.83,1032,28.77
19.89,948,28.86
19.94,818,40.39
20.0,1061,32.26
20.06,1471,25.26
20.11,870,34.52
20.17,746,32.24
20.22,1354,30.04
20.28,1116,32.14
20.33,837,30.67
20.39,881,35.29
20.44,1233,32.95
20.5,789,32.04
20.56,1301,29.58
20.61,1306,33.51
20.67,945,34.74
20.72,1638,37.60
20.78,1412,25.74
20.83,1157,34.90
20.89,1008,29.76
20.94,1476,31.83
21.0,907,33.81
21.06,1350,31.18
21.11,620,29.42
21.17,650,35.75
21.22,1221,32.58
21.28,971,30.75
21.33,883,33.49
21.39,1598,32.89
21.44,955,33.42
21.5,924,36.58
21.56,1040,31.34
21.61,1216,38.51
21.67,899,28.08
21.72,840,34.24
21.78,1438,29.73
21.83,1002,33.12
21.89,930,31.34
21.94,1017,40.06
22.0,1412,35.93
22.06,1013,33.38
22.11,1275,31.27
22.17,1587,35.12
22.22,1092,30.63
22.28,760,31.73
22.33,891,38.86
22.39,1532,31.50
22.44,1775,36.67
22.5,1247,34.15
22.56,1016,31.90
22.61,1457,47.06
22.67,1301,35.62
22.72,1295,34.89
22.78,1281,31.71
22.83,1352,36.61
22.89,1237,31.12
22.94,1426,34.97
23.0,1289,29.92
23.06,1051,32.80
23.11,1484,36.83
23.17,1536,26.41
23.22,1228,34.95
23.28,1604,27.13
23.33,1273,34.72
23.39,1141,29.27
23.44,1445,28.52
23.5,1468,32.77
23.56,1496,34.10
23.61,1679,30.12
23.67,1184,36.28
23.72,1522,32.77
23.78,1513,30.80
23.83,1296,34.83
23.89,1523,30.14
23.94,1244,37.20
24.0,1718,32.74
24.06,1491,31.59
24.11,1524,39.28
24.17,1587,27.71
24.22,1578,36.30
24.28,1241,33.64
24.33,1234,32.40
24.39,955,36.21
24.44,1434,34.05
24.5,970,32.93
24.56,1062,31.44
24.61,2056,29.79
24.67,1310,30.84
24.72,1250,30.28
24.78,1426,33.55
24.83,1381,34.35
24.89,1426,28.79
24.94,1181,35.10
25.0,1539,34.39
25.06,1509,35.41
25.11,2538,33.00
25.17,1367,32.18
25.22,1541,38.37
25.28,1350,36.22
25.33,1468,31.62
25.39,1805,41.39
25.44,1088,30.41
25.5,1734,32.44
25.56,1805,30.05
25.61,1485,35.86
25.67,1663,29.18
25.72,1650,32.24
25.78,1146,31.96
25.83,1449,32.63
25.89,1772,37.82
25.94,1537,31.30
26.0,1529,30.54
26.06,1485,31.14
26.11,1332,33.62
26.17,1371,31.06
26.22,2042,36.08
26.28,2150,31.79
26.33,1327,35.44
26.39,1733,38.27
26.44,1664,37.87
26.5,1287,28.20
26.56,1425,35.63
26.61,1264,33.78
26.67,1029,32.93
26.72,1517,34.67
26.78,1370,29.90
26.83,1120,29.33
26.89,1765,27.58
26.94,1264,38.14
27.0,1355,36.07
27.06,1308,32.70
27.11,1309,32.55
27.17,1129,31.06
27.22,1552,55.35
27.28,1615,40.02
27.33,1222,36.04
27.39,1303,28.36
27.44,1314,40.60
27.5,1500,38.83
27.56,1663,29.70
27.61,1239,32.96
27.67,875,32.82
27.72,1361,27.16
27.78,1060,30.73
27.83,996,33.39
27.89,1368,25.09
27.94,1284,30.46
28.0,974,37.74
28.06,1219,29.66
28.11,1195,27.85
28.17,971,31.62
28.22,1019,32.71
28.28,1223,34.85
28.33,834,41.66
28.39,885,43.35
28.44,882,25.93
28.5,760,33.06
28.56,680,31.71
28.61,1429,29.46
28.67,711,30.17
28.72,914,27.84
28.78,879,35.34
28.83,517,44.44
28.89,1047,32.28
28.94,798,30.99
29.0,905,33.95
29.06,666,30.26
29.11,558,37.41
29.17,962,47.35
29.22,641,33.00
29.28,843,52.64
29.33,581,31.84
29.39,355,33.16
29.44,611,36.19
29.5,632,34.85
29.56,643,27.53
29.61,392,29.21
29.67,556,37.52
29.72,1116,36.66
29.78,405,37.10
29.83,456,24.94
29.89,465,28.27
29.94,493,42.84
30.0,780,38.45
30.06,807,32.48
30.11,447,32.73
30.17,441,36.50
30.22,800,23.78
30.28,629,34.09
30.33,358,26.54
30.39,451,27.53
30.44,275,38.96
30.5,462,30.38
30.56,429,31.71
30.61,477,27.76
30.67,182,29.44
30.72,236,34.88
30.78,303,47.47
30.83,161,44.03
30.89,258,22.50
30.94,363,30.12
31.0,173,33.39
31.06,372,28.70
31.11,418,29.51
31.17,415,29.13
31.22,149,32.94
31.28,207,33.66
31.33,385,21.33
31.39,185,36.04
31.44,145,48.82
31.5,305,23.54
31.56,197,24.06
31.61,176,45.62
31.67,68,25.63
31.72,110,32.19
31.78,166,26.96
31.83,296,24.65
31.89,128,31.16
31.94,240,38.49
32.0,120,22.87
32.06,246,34.58
32.11,175,27.77
32.17,93,27.51
32.22,141,17.65
32.28,81,32.35
32.33,118,39.33
32.39,28,25.36
32.44,65,40.48
32.5,116,19.42
32.56,108,23.71
32.61,121,41.59
32.67,50,27.80
32.72,135,49.30
32.78,313,31.77
32.83,201,29.04
32.89,290,29.61
32.94,25,34.56
33.0,49,20.47
33.06,92,24.21
33.11,111,14.04
33.22,281,57.53
33.28,178,36.81
33.33,55,18.84
33.44,182,21.99
33.5,77,28.19
33.56,65,21.00
33.61,147,25.29
33.67,59,43.95
33.72,10,31.80
33.78,89,23.67
33.83,120,23.85
33.89,9,93.44
33.94,29,23.00
34.0,39,7.69
34.06,142,21.63
34.11,59,18.07
34.17,144,34.72
34.22,48,21.21
34.28,151,21.81
34.33,9,18.22
34.39,70,20.21
34.44,107,19.99
34.5,3,43.67
34.56,45,116.96
34.61,88,16.08
34.67,30,26.67
34.72,49,21.45
34.78,200,22.20
34.83,14,47.07
34.89,238,25.72
34.94,77,18.58
35.0,352,31.85
35.06,137,19.15
35.11,97,19.86
35.17,127,25.24
35.22,87,16.60
35.28,166,17.37
35.33,74,20.81
35.39,53,22.43
35.44,153,32.73
35.5,77,20.09
35.56,74,28.18
35.61,55,14.42
35.67,158,23.63
35.72,77,16.36
35.83,85,17.92
35.89,105,17.31
35.94,65,16.15
36.0,72,35.43
36.06,76,27.18
36.11,60,32.15
36.17,180,27.84
36.22,30,24.50
36.28,30,26.57
36.39,62,29.21
36.44,40,40.65
36.5,24,12.00
36.56,115,20.22
36.61,77,21.32
36.67,74,21.88
36.78,80,22.93
36.89,52,21.65
36.94,98,18.31
37.0,3,13.33
37.06,137,23.50
37.11,74,12.01
37.17,37,20.86
37.22,133,26.58
37.28,75,24.41
37.33,138,24.54
37.39,29,34.28
37.56,75,40.69
37.61,154,17.47
37.67,36,19.39
37.72,199,23.34
37.78,42,19.95
37.83,33,34.61
37.89,27,19.56
37.94,28,29.18
38.0,2,8.00
38.06,148,24.16
38.11,40,32.62
38.17,34,35.26
38.22,152,22.71
38.28,177,23.60
38.33,36,21.58
38.39,58,40.74
38.44,37,34.97
38.5,76,24.09
38.56,1,186.00
38.67,74,16.46
38.83,48,16.75
38.94,38,24.92
39.0,46,35.61
39.11,90,22.16
39.17,32,62.78
39.22,49,26.43
39.33,265,22.81
39.44,40,33.17
39.5,62,60.19
39.67,53,46.77
39.72,1,12.00
39.83,104,30.05
39.89,31,13.94
40.22,46,23.85
40.44,2,8.50
40.56,56,21.80
40.78,41,55.66
40.83,4,70.00
40.89,1,3.00
41.17,4,122.25
