ORIGIN_CITY,num_delays,avg_delay_time
DFW,53089,33.10
ATL,47372,27.74
ORD,38918,38.79
CLT,36382,32.93
SEA,27616,25.53
LAX,24769,29.55
PHX,24384,26.37
LAS,24150,25.69
MCO,19558,32.05
SLC,18591,30.06
DTW,18011,36.04
IAH,17437,40.56
BWI,17243,22.70
EWR,16702,40.13
SFO,15778,37.37
MDW,15356,18.57
MSP,14974,35.02
FLL,13989,31.48
DAL,13146,17.39
PHL,12751,42.59
BOS,11988,35.03
BNA,11153,27.09
LGA,10971,43.12
MIA,10522,32.78
DCA,10236,44.67
JFK,9781,34.63
TPA,9775,30.60
STL,8987,27.69
IAD,8944,47.26
SAN,8296,29.28
PDX,8061,27.62
MSY,6856,32.40
AUS,6580,33.59
HNL,6484,23.56
SMF,6041,26.17
OAK,6041,19.46
RDU,5367,42.92
MCI,4892,36.52
SJC,4821,27.28
IND,4819,36.32
CVG,4724,44.07
SJU,4309,39.84
CLE,4300,42.66
CMH,4118,38.45
SNA,4067,30.85
SAT,3886,35.35
PIT,3780,40.55
MKE,3211,37.66
PBI,3069,39.14
JAX,2909,39.49
MEM,2838,42.11
ONT,2692,29.93
OGG,2560,28.05
BOI,2538,44.62
GEG,2493,35.45
BDL,2443,43.77
ORF,2430,49.57
BUR,2403,28.95
OKC,2394,43.16
SDF,2377,47.72
RIC,2360,45.86
ASE,2318,81.77
ABQ,2312,35.73
RNO,2297,34.90
CHS,2292,46.06
GRR,2278,46.51
OMA,2260,42.22
ANC,2107,30.79
BHM,2029,42.07
TUS,2018,44.41
DSM,1819,50.87
SAV,1689,53.84
TYS,1680,57.79
GSP,1643,52.69
PVD,1629,40.75
TUL,1627,43.79
SFB,1605,46.71
ELP,1576,43.64
PNS,1521,50.01
PSP,1519,48.60
LIT,1509,43.58
SRQ,1461,50.72
ALB,1450,47.24
GSO,1422,62.42
ROC,1366,49.59
DAY,1291,53.32
MSN,1276,60.89
SYR,1262,61.67
CID,1246,55.64
AVL,1238,51.49
FAT,1232,57.46
XNA,1208,52.49
KOA,1207,32.11
ICT,1182,52.26
CAE,1178,45.05
SGF,1161,51.99
EYW,1090,40.19
LGB,1083,36.04
PWM,1077,55.50
FSD,1066,58.21
BZN,1063,43.15
LEX,1035,56.87
HPN,1006,50.36
FWA,979,53.79
MDT,903,52.58
SBN,887,53.90
HSV,884,56.73
LIH,882,41.93
RDM,866,52.56
FAR,855,63.98
MFR,852,57.17
CHA,852,52.46
MAF,848,49.38
JAN,845,51.20
EUG,843,56.57
AGS,797,42.33
ILM,764,55.63
BTV,756,66.29
MHT,744,49.67
LBB,735,47.79
ROA,728,54.58
TLH,725,46.56
SHV,720,58.54
JNU,713,34.88
SBP,712,54.97
ABE,704,69.64
RAP,699,58.46
MSO,690,52.07
CAK,686,58.09
CHO,683,63.46
PAE,683,32.58
ATW,667,61.46
BIL,666,49.03
FCA,661,54.44
FNT,660,47.19
BIS,638,67.36
BTR,621,60.57
FAY,619,40.02
AMA,614,53.18
PIA,611,70.55
PSC,604,48.05
ISP,557,33.25
CRW,555,57.14
MLI,553,55.99
FAI,544,29.53
CRP,534,44.48
GPT,533,44.93
SBA,523,73.22
TVC,519,63.71
GNV,512,60.13
TRI,508,48.46
MGM,488,51.60
MFE,467,55.55
GRB,462,65.94
BGR,458,69.40
GJT,457,64.77
AVP,454,70.12
OAJ,446,47.52
EVV,443,52.07
LFT,441,64.02
ITO,427,19.28
DAB,407,40.99
HDN,396,67.03
MTJ,391,61.32
AEX,380,53.48
MRY,359,70.93
STS,354,46.69
GTF,339,70.47
AZO,324,70.89
PHF,319,58.87
MOT,317,73.38
LAN,312,63.49
RST,308,79.76
IDA,305,63.63
BMI,294,60.42
LYH,294,42.00
MLB,287,50.76
BFL,276,58.90
COU,273,60.55
ABI,269,49.14
ACY,267,41.31
CWA,266,58.40
MLU,262,72.39
LNK,257,72.69
DLH,250,53.01
EWN,249,49.16
TOL,248,57.33
TTN,244,45.65
ERI,237,55.42
FLG,233,71.38
BET,231,23.59
CMI,228,66.80
HLN,225,46.00
MBS,224,72.48
SJT,219,44.87
PUW,217,26.24
SAF,214,82.00
SUN,214,58.79
HTS,213,53.68
SCK,205,49.75
PLN,200,93.30
EAT,198,28.14
TYR,197,42.33
SBY,196,55.68
PVU,195,29.57
SPI,193,65.09
CPR,193,60.22
FSM,192,49.68
LSE,187,59.34
GRI,185,75.09
ACV,182,101.02
RFD,181,60.92
PBG,180,88.97
ACT,179,42.16
GFK,174,77.52
BRO,168,56.71
CLL,165,64.07
IAG,162,48.49
LCH,153,60.50
LAW,147,40.89
DHN,145,71.05
BRW,145,26.38
PGV,143,49.97
XWA,142,74.75
JLN,140,80.37
GGG,137,40.07
YAK,137,23.22
RIW,136,72.38
ALW,136,19.62
CKB,134,99.54
SUX,131,37.12
SPS,129,38.84
YKM,127,34.08
GTR,125,66.24
JMS,124,76.83
VLD,124,66.53
GCK,124,56.91
TXK,124,51.90
CSG,124,38.69
AKN,121,22.85
CIU,120,100.44
LBE,118,51.12
ADQ,118,26.86
ELM,116,58.10
ORH,112,70.13
MEI,110,78.39
ABR,110,76.34
APN,109,122.00
IMT,107,78.77
BPT,106,44.91
TWF,105,46.23
OTZ,105,24.76
SHR,104,83.24
HYS,103,93.81
FLO,101,68.57
PRC,100,89.06
CNY,98,89.84
LBF,96,106.20
ROW,90,90.43
PUB,90,102.50
OME,87,27.56
RDD,86,71.98
GCC,85,111.08
LAR,81,79.06
GUM,81,49.09
RHI,80,88.42
BFF,77,92.45
LWS,76,78.01
BTM,75,44.69
VEL,75,116.28
ABY,74,61.76
BGM,71,122.39
PIH,70,70.39
DRT,67,82.63
INL,67,108.30
BQK,65,56.48
SWO,62,83.65
HGR,58,28.12
ART,57,120.21
RKS,57,116.65
BRD,56,87.18
ALO,55,69.65
HIB,54,128.87
DIK,50,88.46
EKO,49,120.63
DEC,48,69.42
STC,46,30.65
DDC,41,136.95
CYS,34,84.32
SMX,28,52.57
CDC,25,163.24
OWB,12,39.50
JST,11,22.73
VCT,9,145.00
