MONTH,ORIGIN_CITY,num_delays,avg_delay_time
January,ATL,8382,28.91
January,BWI,2615,24.18
January,CLT,7089,30.23
January,DAL,2464,19.37
January,DFW,8477,36.52
January,DTW,3230,40.65
January,EWR,4230,43.00
January,FLL,3001,31.12
January,IAH,3588,40.00
January,LAS,4287,26.65
January,LAX,5788,30.94
January,MCO,4022,31.63
January,MDW,2559,23.73
January,MSP,3311,38.85
January,ORD,9173,40.85
January,PHL,2525,42.42
January,PHX,4477,26.88
January,SEA,6331,28.90
January,SFO,4308,40.11
January,SLC,2801,26.70
February,ATL,9313,36.98
February,BWI,2334,27.76
February,CLT,7646,43.84
February,DAL,2064,18.48
February,DFW,7314,30.43
February,DTW,3474,43.75
February,EWR,3865,46.71
February,FLL,3008,33.22
February,IAH,3374,40.61
February,LAS,3671,27.81
February,LAX,4940,32.23
February,MCO,4099,36.08
February,MDW,2285,20.51
February,MSP,2797,36.33
February,ORD,8535,48.34
February,PHL,2761,49.70
February,PHX,4198,25.80
February,SEA,4881,27.21
February,SFO,3561,43.20
February,SLC,2599,34.23
March,ATL,4800,25.36
March,BWI,1579,21.44
March,CLT,3963,30.29
March,DAL,1337,18.02
March,DFW,5396,37.12
March,DTW,2032,37.95
March,EWR,2444,42.07
March,FLL,1648,31.20
March,IAH,2175,42.74
March,LAS,2893,40.92
March,LAX,3689,32.08
March,MCO,2382,33.36
March,MDW,1201,19.11
March,MSP,1647,35.70
March,ORD,4899,33.98
March,PHL,1620,39.94
March,PHX,3688,28.30
March,SEA,3255,28.87
March,SFO,2178,35.14
March,SLC,1721,37.33
April,ATL,964,25.45
April,BWI,312,21.19
April,CLT,764,31.36
April,DAL,291,12.65
April,DFW,1084,31.85
April,DTW,584,34.88
April,EWR,153,35.92
April,FLL,248,26.64
April,IAH,388,37.25
April,LAS,462,23.75
April,LAX,542,23.79
April,MCO,367,28.81
April,MDW,393,13.89
April,MSP,380,27.77
April,ORD,780,39.23
April,PHL,336,36.18
April,PHX,614,24.65
April,SEA,485,24.67
April,SFO,242,40.96
April,SLC,359,26.02
May,ATL,1042,18.95
May,BWI,579,17.04
May,CLT,1045,29.52
May,DAL,439,15.93
May,DFW,1678,27.10
May,DTW,330,24.24
May,EWR,138,23.49
May,FLL,239,35.41
May,IAH,477,38.38
May,LAS,706,18.09
May,LAX,537,19.38
May,MCO,358,28.10
May,MDW,586,11.91
May,MSP,254,27.28
May,ORD,886,33.45
May,PHL,243,43.19
May,PHX,657,19.24
May,SEA,767,18.29
May,SFO,304,31.06
May,SLC,476,18.64
June,ATL,1736,19.54
June,BWI,1677,23.98
June,CLT,1290,29.92
June,DAL,1093,14.98
June,DFW,2300,26.42
June,DTW,459,23.40
June,EWR,226,37.87
June,FLL,429,25.26
June,IAH,653,48.89
June,LAS,1434,18.86
June,LAX,708,22.27
June,MCO,763,26.37
June,MDW,1534,15.67
June,MSP,427,22.65
June,ORD,1191,34.07
June,PHL,309,46.76
June,PHX,1012,19.49
June,SEA,1411,18.18
June,SFO,470,29.32
June,SLC,813,26.63
July,ATL,3579,27.74
July,BWI,1509,23.00
July,CLT,2571,45.06
July,DAL,742,17.59
July,DFW,3977,31.50
July,DTW,1226,28.58
July,EWR,855,42.69
July,FLL,830,33.31
July,IAH,893,51.42
July,LAS,1716,23.32
July,LAX,1121,30.34
July,MCO,1365,36.43
July,MDW,1085,18.50
July,MSP,958,32.28
July,ORD,2406,39.86
July,PHL,1063,47.84
July,PHX,1207,29.52
July,SEA,1674,22.15
July,SFO,764,34.05
July,SLC,1602,33.26
August,ATL,4093,28.71
August,BWI,1372,22.90
August,CLT,2992,31.16
August,DAL,845,18.91
August,DFW,3600,30.38
August,DTW,1503,29.16
August,EWR,852,32.23
August,FLL,650,26.80
August,IAH,870,36.47
August,LAS,1970,22.68
August,LAX,1285,26.89
August,MCO,1121,35.96
August,MDW,1125,19.98
August,MSP,1089,31.24
August,ORD,2061,35.14
August,PHL,1001,42.73
August,PHX,1296,26.66
August,SEA,1850,22.12
August,SFO,788,30.40
August,SLC,1600,23.24
September,ATL,2634,20.58
September,BWI,1127,18.28
September,CLT,1939,23.93
September,DAL,917,15.29
September,DFW,4072,29.57
September,DTW,1006,25.47
September,EWR,494,26.02
September,FLL,501,29.75
September,IAH,1008,35.15
September,LAS,1591,20.31
September,LAX,1108,23.43
September,MCO,905,31.55
September,MDW,1033,15.68
September,MSP,746,26.28
September,ORD,1847,28.74
September,PHL,511,25.84
September,PHX,1349,23.40
September,SEA,1550,22.80
September,SFO,715,29.54
September,SLC,1330,33.14
October,ATL,3070,23.64
October,BWI,1008,15.87
October,CLT,2445,24.14
October,DAL,902,13.59
October,DFW,5661,33.26
October,DTW,1143,31.22
October,EWR,962,28.07
October,FLL,912,37.87
October,IAH,1104,42.60
October,LAS,1979,21.62
October,LAX,1391,25.03
October,MCO,985,30.15
October,MDW,956,14.14
October,MSP,995,30.65
October,ORD,2577,28.92
October,PHL,756,35.46
October,PHX,1575,28.59
October,SEA,1831,22.53
October,SFO,875,35.87
October,SLC,1414,26.71
November,ATL,3033,23.32
November,BWI,1149,22.99
November,CLT,1973,24.37
November,DAL,623,14.34
November,DFW,3943,33.28
November,DTW,1192,27.26
November,EWR,1000,36.75
November,FLL,981,29.68
November,IAH,1167,35.11
November,LAS,1574,20.12
November,LAX,1507,26.23
November,MCO,1129,25.25
November,MDW,864,20.18
November,MSP,867,32.29
November,ORD,2005,32.32
November,PHL,690,35.91
November,PHX,1817,24.48
November,SEA,1701,25.10
November,SFO,725,31.46
November,SLC,1657,26.15
December,ATL,4726,23.98
December,BWI,1982,22.02
December,CLT,2665,27.25
December,DAL,1429,19.12
December,DFW,5587,37.45
December,DTW,1832,42.01
December,EWR,1483,31.83
December,FLL,1542,29.88
December,IAH,1740,39.03
December,LAS,1867,23.25
December,LAX,2153,31.35
December,MCO,2062,26.53
December,MDW,1735,16.40
December,MSP,1503,43.39
December,ORD,2558,36.89
December,PHL,936,41.15
December,PHX,2494,28.55
December,SEA,1880,24.65
December,SFO,848,33.04
December,SLC,2219,33.98
